heterogeneity,n,m,rep,coef_mse_mlm,coef_mse_bayes,ratio_coef_mse,test_mse_mlm,test_mse_bayes,ratio_test_mse
large,200.0,300.0,7,0.008033786292144999,0.00516484434539131,1.5554750065824734,1.0724128455565851,1.0435322342561966,1.0276758209783274
large,200.0,300.0,8,0.00777943559004766,0.005145301696580313,1.51194935667583,1.0887111185768223,1.0642584836074958,1.0229762180390989
large,200.0,300.0,9,0.007051678795058501,0.004901928012429639,1.4385520915806636,1.0717256434381668,1.0516798624019248,1.0190607253717492
large,200.0,300.0,10,0.0077841968667562034,0.004999578636837522,1.5569705833610188,1.066847088309132,1.0458541932686438,1.0200724873272042
large,200.0,770.0,1,0.007716761542066504,0.0051137613711756845,1.5090187010999252,1.0843529158813219,1.0562576953389118,1.0265988315790642
large,200.0,770.0,2,0.007997969207421539,0.005191633735425818,1.540549587087839,1.0725931675346192,1.046602558795325,1.0248333128185836
large,200.0,770.0,3,0.007395674271011083,0.0049135300919272195,1.5051651526795269,1.0878777690276682,1.0644624947307095,1.0219972750687494
large,200.0,770.0,4,0.0074527102515495585,0.004932399634423896,1.510970481697401,1.0763385490912603,1.048694852164926,1.0263600959509496
large,200.0,770.0,5,0.007733123657358315,0.005109569635440283,1.5134589034115324,1.0789549519075197,1.0494292198224393,1.0281350390549218
large,200.0,770.0,6,0.007729819960250155,0.005091000959944053,1.5183300928576335,1.0693727200683163,1.044759908593135,1.0235583422303454
large,200.0,770.0,7,0.00807382194948718,0.005257660172111175,1.5356302395339476,1.0930859051184378,1.0672091226221547,1.0242471526411836
large,200.0,770.0,8,0.007952701667936856,0.005142741505960773,1.5463934282365068,1.0705098181742754,1.0462589979200485,1.0231786013811468
large,200.0,770.0,9,0.0071975739460407515,0.004855988471429229,1.4822057318275181,1.0873916996157682,1.0586090011614726,1.0271891684490837
large,200.0,770.0,10,0.007959077066357428,0.005124212964563969,1.553229173220884,1.0751492231450668,1.0483273157538835,1.0255854321337556
large,400.0,770.0,1,0.003867294049554731,0.003015274132043605,1.28256797896305,1.0321567851381963,1.0243868999528558,1.007584912678694
