n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
60,724,2,Age,0.0001161858737753679,3.966095746785389e-5,3.4261550848956885e-5,1.033062712381321e-5,2.9463566654380116,2.8721818769995506,0.5578584480845794,0.05578584480845794,2.9294772792497303,65.86421724164693,100
80,704,2,Age,8.591326371229156e-5,3.477981189898422e-5,2.7251582803457553e-5,8.277208408249052e-6,2.4748808004470644,2.417786705057563,0.46597715382485266,0.046597715382485264,2.4702049557318264,59.51752919612541,100
100,684,2,Age,6.573483385671286e-5,3.1097887651312924e-5,1.5139645625181228e-5,5.640291627467821e-6,2.120648631861477,2.0811951678621394,0.3534284824672209,0.03534284824672209,2.1138038246767414,52.6919202091553,100
125,659,2,Age,5.4898012345224854e-5,2.910638036631126e-5,1.2349141220466253e-5,5.9860386422991154e-6,1.9008824142284046,1.8883618159633677,0.29485925505046956,0.029485925505046955,1.8861160905038445,46.98099416919419,100
150,634,2,Age,4.625551682629685e-5,2.7287203041315326e-5,7.4717209345213775e-6,4.636541386159307e-6,1.7174597711163853,1.6867920553697358,0.2592550951113606,0.025925509511136056,1.6951358758265462,41.00767883799278,100
200,584,2,Age,3.6821948642333157e-5,2.3937583872199685e-5,5.948414202953497e-6,4.018753673153916e-6,1.550464303197064,1.5333335527269245,0.18262616900326636,0.018262616900326635,1.5382483394699222,34.990991094155945,100
250,534,2,Age,3.270710134426696e-5,2.382154721930957e-5,5.2233238737956775e-6,3.9099622381062665e-6,1.3826785325040731,1.3654132321708214,0.15783169421463575,0.015783169421463576,1.3730049120300138,27.167048621735745,100
300,484,2,Age,2.9515049192827713e-5,2.305088780454023e-5,4.475358849230313e-6,3.736529284088901e-6,1.2894412830091386,1.2870699248929625,0.13849937231176898,0.013849937231176898,1.2804300399663682,21.901238741144645,100
400,384,2,Age,2.8355135237513037e-5,2.431056807032126e-5,4.293207876082102e-6,4.2189564105396835e-6,1.174385347057688,1.177882296102699,0.09715524911592288,0.009715524911592287,1.1663707386636288,14.263967120287013,100
500,284,2,Age,3.0398062233058373e-5,2.757092003391063e-5,4.718023255483623e-6,4.404377152786133e-6,1.1052467892640008,1.1020653071621054,0.06452306022036874,0.006452306022036875,1.1025407275372212,9.30040269498883,100
600,184,2,Age,4.018479627147862e-5,3.815376859342274e-5,7.858781839799128e-6,7.640352712382814e-6,1.05531058535919,1.0506841315358875,0.04934285267666794,0.004934285267666794,1.0532326884848278,5.054219173676422,100
40,744,3,BMI,0.0007244431932121216,0.00021290120688679832,0.0002635773546259509,6.028972194438996e-5,3.391964654438213,3.2794358896133033,0.7179885208240739,0.0717988520824074,3.4027199930215297,70.61174583712881,100
60,724,3,BMI,0.00043452828130179566,0.00016833025624944962,0.00011989377239623338,3.422947499312209e-5,2.591449643366423,2.4844139365332776,0.532846944498565,0.05328469444985649,2.5814033138395844,61.26138079087695,100
80,704,3,BMI,0.0003231583968302837,0.00014789042353523284,8.092707051335489e-5,2.7871300533232426e-5,2.1972025011926037,2.16704794130671,0.4041017391521695,0.04041017391521695,2.1851205041230792,54.23593352800857,100
100,684,3,BMI,0.00025053112895598734,0.00013494757533227247,6.483851913248076e-5,2.939057200572881e-5,1.8632196486578658,1.881339851771322,0.30515974469157076,0.030515974469157076,1.856507079427853,46.135406049289905,100
